ci_estudiante,ci_est_dpto,materia,ci_docente,ci_doc_dpto,periodo,nota,observaciones
6949853,LP,MAT120,6837306,LP,II-2002,51,Aprobado
4891593,LP,FIS100,6140134,LP,II-2001,65,Aprobado
6788550,LP,INF320,6030223,LP,I-2014,20,Reprobado
8425764,LP,FIS100,4826389,LP,I-2000,38,Reprobado
6723965,LP,INF320,3483848,LP,I-2012,12,Reprobado
6858270,LP,FIS100,6824136,LP,I-2000,99,Aprobado
6058774,LP,INF236,6087357,LP,I-2010,2,Reprobado
5975560,LP,EST392,6057424,LP,II-2001,89,Aprobado
9216537,LP,INF324,4760216,LP,II-2010,43,Reprobado
8324817,LP,INF236,7290420,OR,I-2000,16,Reprobado
5977801,LP,MAT320,3483848,LP,II-2010,48,Reprobado
9236298,LP,MAT270,6150506,LP,I-2008,37,Reprobado
4822122,LP,MAT320,6815832,LP,II-2014,84,Aprobado
6144341,LP,EST440,5994785,LP,II-2002,2,Reprobado
6087357,LP,EST440,6056909,LP,II-2011,14,Reprobado
7038942,LP,EST280,6143079,LP,II-2001,94,Aprobado
8342748,LP,INF120,4875775,LP,II-2007,16,Reprobado
6095371,LP,INF120,4875775,LP,II-2005,46,Reprobado
6862348,LP,EST392,4826389,LP,I-2011,21,Reprobado
6862348,LP,MAT120,4847126,LP,II-2002,94,Aprobado
9216537,LP,INF391,6778337,LP,I-2009,92,Aprobado
7038942,LP,MAT320,6153276,LP,II-2005,56,Aprobado
4758753,LP,INF325,6139832,LP,I-2000,29,Reprobado
6095371,LP,INF325,6778337,LP,I-2011,88,Aprobado
6815832,LP,FIS100,6150980,LP,II-2004,67,Aprobado
6723965,LP,MAT320,4896040,LP,I-2013,64,Aprobado
6057424,LP,INF320,6765608,LP,I-2013,85,Aprobado
4745826,LP,FIS100,6751047,LP,I-2010,69,Aprobado
6862348,LP,FIS100,6049205,LP,II-2010,89,Aprobado
6888435,LP,FIS100,6131932,LP,I-2008,49,Reprobado
6849369,LP,MAT120,4965844,LP,II-2003,82,Aprobado
6153276,LP,MAT320,4875775,LP,II-2011,26,Reprobado
8260146,LP,FIS100,6948542,LP,I-2013,3,Reprobado
9216537,LP,FIS100,6009256,LP,I-2004,29,Reprobado
8346639,LP,INF391,6751047,LP,II-2013,89,Aprobado
4830306,LP,INF325,6858879,LP,I-2004,10,Reprobado
7005717,LP,EST280,6087357,LP,II-2011,20,Reprobado
8260129,LP,EST440,6751047,LP,I-2010,42,Reprobado
6780733,LP,EST392,6131932,LP,I-2000,95,Aprobado
8323749,LP,INF324,4875775,LP,I-2007,22,Reprobado
6002249,LP,FIS100,6853401,LP,I-2013,52,Aprobado
8264238,LP,EST280,7290420,OR,I-2006,72,Aprobado
4268464,LP,INF325,5960219,LP,I-2001,20,Reprobado
4844828,LP,MAT270,8321673,LP,I-2001,76,Aprobado
6169410,LP,INF320,6765381,LP,I-2010,52,Aprobado
7290420,OR,INF320,4965844,LP,II-2010,67,Aprobado
6888435,LP,INF325,7023542,LP,I-2013,66,Aprobado
6761652,LP,EST280,6150980,LP,II-2002,74,Aprobado
5960219,LP,INF325,6858879,LP,II-2014,93,Aprobado
4891593,LP,INF325,5975560,LP,II-2003,1,Reprobado
8441626,LP,INF120,5981213,LP,II-2009,2,Reprobado
8323749,LP,EST140,538893,VE,I-2004,86,Aprobado
8441626,LP,INF391,4896040,LP,I-2008,21,Reprobado
4777949,LP,INF320,4847126,LP,I-2009,92,Aprobado
4965844,LP,MAT270,6131932,LP,I-2008,52,Aprobado
4891593,LP,EST280,5960219,LP,I-2005,39,Reprobado
6144520,LP,FIS100,5977396,LP,II-2003,41,Reprobado
7005717,LP,EST280,6144341,LP,I-2014,39,Reprobado
4844828,LP,INF391,5977396,LP,II-2009,42,Reprobado
6058774,LP,INF120,6723965,LP,II-2006,84,Aprobado
9944703,LP,INF325,6018908,LP,I-2000,59,Aprobado
6126334,LP,EST392,6009256,LP,II-2014,43,Reprobado
6942105,LP,MAT320,8342748,LP,II-2007,89,Aprobado
6140134,LP,INF120,6858879,LP,II-2004,91,Aprobado
4928737,LP,MAT320,4875775,LP,I-2010,27,Reprobado
8302680,LP,FIS100,5975560,LP,II-2003,17,Reprobado
9112023,LP,MAT270,4898251,LP,I-2007,79,Aprobado
8412330,LP,MAT320,6858270,LP,I-2003,73,Aprobado
6858879,LP,INF236,4837464,LP,II-2006,63,Aprobado
5975560,LP,INF120,4898251,LP,I-2007,72,Aprobado
4856270,LP,INF120,4852497,LP,II-2012,10,Reprobado
6948818,LP,INF324,5994785,LP,II-2007,99,Aprobado
5604693,BN,INF120,6150506,LP,I-2006,21,Reprobado
8402517,LP,EST440,6140134,LP,II-2011,27,Reprobado
4898251,LP,INF325,8321673,LP,I-2003,72,Aprobado
7048950,LP,FIS100,5960219,LP,I-2004,3,Reprobado
6010843,LP,FIS100,4774159,LP,I-2002,7,Reprobado
8469272,LP,EST280,7290420,OR,I-2004,75,Aprobado
8342748,LP,INF120,8321673,LP,I-2004,73,Aprobado
7048950,LP,MAT320,6057424,LP,I-2006,18,Reprobado
6948818,LP,INF325,6150980,LP,II-2001,20,Reprobado
6150980,LP,FIS100,4898251,LP,I-2011,8,Reprobado
6751497,LP,EST440,6888435,LP,I-2002,90,Aprobado
4913514,LP,EST440,6778337,LP,II-2005,61,Aprobado
8323749,LP,EST140,6837306,LP,I-2009,81,Aprobado
9944703,LP,INF324,4928737,LP,I-2009,68,Aprobado
7038942,LP,INF325,6720620,LP,I-2014,92,Aprobado
8321330,LP,EST440,7023542,LP,II-2010,68,Aprobado
6196542,LP,INF325,6798702,LP,I-2002,10,Reprobado
5994995,LP,INF236,6798702,LP,II-2001,47,Reprobado
6998038,LP,EST140,4875775,LP,I-2007,58,Aprobado
6720982,LP,INF391,4774159,LP,II-2008,35,Reprobado
3459074,LP,INF320,6905510,LP,I-2010,93,Aprobado
5979287,LP,MAT320,6824998,LP,I-2011,52,Aprobado
4837304,LP,MAT320,4896040,LP,I-2013,82,Aprobado
6126334,LP,INF120,2622011,LP,I-2008,61,Aprobado
4924229,LP,EST140,4896040,LP,I-2001,68,Aprobado
6815832,LP,MAT320,6087357,LP,I-2008,51,Aprobado
6057424,LP,FIS100,538893,VE,I-2011,56,Aprobado
6869689,LP,EST140,6826200,LP,I-2013,63,Aprobado
4924229,LP,FIS100,6853401,LP,I-2007,97,Aprobado
6998038,LP,INF236,4898251,LP,I-2005,21,Reprobado
6778337,LP,INF236,6020916,LP,II-2010,40,Reprobado
6852438,LP,MAT120,7007126,LP,II-2014,87,Aprobado
